Song Name,Buildups,Drops,BPMs
Michael_Jackson___Love_Never_Felt_So_Good_(Fedde_Le_Grand_Remix),"80.6, 180.5","96.0, 195.8",125
Miley_Cyrus___Malibu_(The_Him_Extended_Mix),,"61.1, 76.3, 152.5, 167.7",126
Oliver_Heldens___Throttle___Waiting,"42.2, 153.6","57.6, 169.0",125
Paul_Damixie___Get_Lost_(Extended_Version)_16.05.17_17,"96.0, 160.0, 208.0","112.0, 176.0, 224.0",120
Rihanna___Work_(R3hab_Remix),,"69.5, 158.3",100
Selena_Gomez___Marshmello___Wolves_(Lodato_Bootleg),,"84.3, 175.7",126
"Steve_Aoki,_Daddy_Yankee,_Play_N_Skillz,_Elvis_Crespo___Azukita","44.5, 103.5, 177.4","59.2, 118.3, 192.1",130
The_Chainsmokers___Closer_(Jauz_Remix),"52.5, 97.5, 172.5","67.5, 112.5, 187.5",128
The_Chainsmokers___Don't_Let_Me_Down_(Illenium_Remix),,"84, 174",80
The_Chainsmokers___Good_Intentions_(Speaker_of_the_House_Remix),,"93.4, 200.1",126
The_Chainsmokers___Paris_(Beau_Collins_Remix),,"54.4, 131.8, 178.3",124
The_Weeknd___Can't_Feel_My_Face_(Martin_Garrix_Remix),,"80.7, 202.5",128
The_Weeknd_ft._Daft_Punk___Starboy_(Stephen_Murphy_Remix),"62.3, 186.2","93.3, 217.2",124
Tiesto___Boom,,"19.6, 103.5",123
Tiësto___Oliver_Heldens___The_Right_Song_(feat._Natalie_La_Rose),"47.9, 140.1","63.3, 155.5",124
Tiësto___Summer_Nights_(feat._John_Legend),"61.9, 123.8","77.4, 139.3",125
Tove_Lo___Talking_Body_(KREAM_Remix),"31.1, 93.0, 139.5","46.6, 108.6, 149.2",124
Tujamo___Drop_That_Low,,"76.5, 171.8",126
Twenty_One_Pilots___Stressed_Out_(Dave_Winnel_Remix),"30.6, 151.9","61.0, 168.6",126
Valentino_Khan___Deep_Down_Low,,"61.1, 137.3",126
WALK_THE_MOON___Shut_Up_and_Dance_(The_White_Panda_Remix),"26.2, 93.7","41.2, 123.7",128
White_Label___Is_This_Love,,"48.2, 143.4",126
Yeah_Yeah_Yeahs_x_A_Trak___Heads_Will_Roll_(DiscoTech_Remix),"75.0, 135.0, 225.0","90.0, 153.7, 240.0",128
Zedd_Ft_Liam_Payne___Get_Low_(Callum_Knight_Remix),"68.5, 179.3","83.3, 194.0",130
Zedd___I_Want_You_To_Know_(Feat._Selena_Gomez),"63.7, 142.5","78.7, 157.5",128
Zedd___Stay_(Revolt_Remix),,"70.6, 154.4, 215.3",216
Zedd___The_Middle_(Alphalove_Remix),"78.7, 140.2, 188.1","94.1, 155.5, 203.5",125
