Song Name,Buildups,Drops
East_&_Young___Elevate_(Original_Mix),"80.0, 175.3","110.5, 190.5"
EDX_-_Feel_the_Rush,,"35, 155"
Ellie_Goulding___On_My_Mind_(Jax_Jones_Remix),"52.5, 157.5","67.5, 172.5"
Emily_Vaughn_-_Better_Off_(Lash_Remix),"76.8, 169.0","92.2, 184.3"
Galantis___Peanut_Butter_Jelly_(Extended_Mix),"90.0, 180.0","105.0, 195.0"
Galantis_-_Hunter,,"68.7, 137.3"
Galantis_-_Love_on_Me,,"64.7, 153.8"
Galantis_-_Runaway_(U_&_I),,"55.7, 138.9"
Halsey_-_Bad_At_Love_(Generik_Remix),"39.4, 116.8","54.9, 132.4"
Halsey_-_New_Americana_(OLWIK_Remix),"23.4, 107.9","40.7, 125.2"
Keanu_Silva___Pump_Up_The_Jam_Extended_Mix,"45.7, 137.2","64.8, 156.2"
KSHMR_-_Power,,"30.3, 99.4"
Lana_del_Ray_-_Summertime_Sadness,,"68.8, 167.7"
Loud_Luxury_-_Body_(Extended_Mix),"70.8, 145.6","86.6, 161.3"
M-22_-_Good_to_be_Loved_(KREAM_Remix),"38.1, 114.3, 144.8","53.4, 129.5, 160.0"
Maggie_Lindemann_-_Pretty_Girl_(Cheat_Codes_x_Cade_Remix),"103.3, 236.3","118.1, 251.0"
MAGIC!_-_Rude_(Zedd_Remix),"48.2, 127.6","64.1, 143.4"
Major_Lazor_-_Light_It_Up,,"45.2, 98.5, 138.5 "
Marshmello_-_Alone,,"20.4, 74.5, 169.1"
Marshmello_&_Anne_Marie_-_FRIENDS_(Borgeous_Remix),"41.7, 133.6","58.5, 150.3"
Martin_Garrix_-_There_For_You_(Remix),,"40.3, 124.1"
Martin_Garrix_&_Third_Party_-_Lions_In_The_Wild_(Extended_Mix),"67.5, 165.0","97.5, 195.0"
Martin_Jensen_-_Solo_Dance,,"62.6, 158.2, 228.4"
Michael_Jackson___Love_Never_Felt_So_Good_(Fedde_Le_Grand_Remix),"60.0, 150.0","75.0, 172.5"
Miley_Cyrus_-_Malibu_(The_Him_Extended_Mix),"80.6, 180.5","96.0, 195.8"
MOTi_-_Livin_4_Ya,,"61.1, 76.3, 152.5, 167.7"
Oliver_Heldens_&_Throttle_-_Waiting,"42.2, 153.6","57.6, 169.0"
Paul_Damixie_-_Get_Lost_(Extended_Version)_16.05.17_17,"96.0, 160.0, 208.0","112.0, 176.0, 224.0"
Rihanna_-_Work_(R3hab_Remix),,"69.5, 158.3"
"Steve_Aoki,_Daddy_Yankee,_Play-N-Skillz,_Elvis_Crespo_-_Azukita","44.5, 103.5, 177.4","59.2, 118.3, 192.1"
The_Chainsmokers_-_Closer_(Jauz_Remix),"52.5, 97.5, 172.5","67.5, 112.5, 187.5"
The_Chainsmokers_-_Don't_Let_Me_Down_(Illenium_Remix),,"84, 174"
The_Weeknd_ft._Daft_Punk_-_Starboy_(Stephen_Murphy_Remix),"62.3, 186.2","93.3, 217.2"
Tiesto_-_Boom,,"19.6, 103.5"
Tiësto_-_Summer_Nights_(feat._John_Legend),"47.9, 140.1","63.3, 155.5"
Tiësto_&_Oliver_Heldens_-_The_Right_Song_(feat._Natalie_La_Rose),"61.9, 123.8","77.4, 139.3"
Tove_Lo_-_Talking_Body_(KREAM_Remix),"31.1, 93.0, 139.5","46.6, 108.6, 149.2"
Tujamo_-_Drop_That_Low,,"76.5, 171.8, "
Twenty_One_Pilots___Stressed_Out_(Dave_Winnel_Remix),"30.6, 151.9","61.0, 168.6"
Valentino_Khan_-_Deep_Down_Low,,"61.1, 137.3"
WALK_THE_MOON_-_Shut_Up_and_Dance_(The_White_Panda_Remix),"26.2, 93.7","41.2, 123.7"
White_Label_-_Is_This_Love,,"48.2, 143.4"
Yeah_Yeah_Yeahs_x_A-Trak_-_Heads_Will_Roll_(DiscoTech_Remix),"75.0, 135.0, 225.0","90.0, 153.7, 240.0"
Zedd_-_I_Want_You_To_Know_(Feat._Selena_Gomez),"68.5, 179.3","83.3, 194.0"
Zedd_-_Stay_(Revolt_Remix),"63.7, 142.5","78.7, 157.5"
Zedd_Ft_Liam_Payne_-_Get_Low_(Callum_Knight_Remix),"78.7, 140.2, 188.1","94.1, 155.5, 203.5"
